section,id,experiment,file,run_id,wandb_url,lineage_parent,variant,val_metric_name,val_metric,val_action_metric,net_stock_lcb,net_damage_lcb,closed_loop_source,boots,matches,crashes,total_params,policy_params,model_context,effective_batch,update_steps,samples,train_pf_6nt,replan_p50_ms,replan_p95_ms,control,hyperparam_or_flops_mismatch
independent_mtp,M1.3,016,experiments/016_spatial_features.py,fxhtoxu8,https://wandb.ai/ericyuegu/hal/runs/fxhtoxu8,013,base independent MTP,val/loss,1.0518108082161617,recon_f1=0.9;recon_acc=0.992239932885906;change_f1=0.444389,-0.7821778221950475,7.832371196346196,W&B standard field; old protocol,,114,crash_fraction=0.008695652173913044,6785714,6785714,d256-L8-h4-context256-offsets1-5-9-13,512,16384,8388608,87.433,,,control,no row-internal mismatch
independent_mtp,M1.4a,023,experiments/023_mtp_heads.py,46zi7fgo,https://wandb.ai/ericyuegu/hal/runs/46zi7fgo,023-E0,context1024-local128,val/loss,1.0106384368642722,change_f1=0.4847478796433467;button_acc=0.9418022092695536,-0.8650252493923563,-4.113234792689072,W&B/R2 marginals; repository LCB formula,96,116,0,6818482,6818482,d256-L8-h4-context1024-local128,128,16384,2097152,87.855,2.1022720336914062,2.8477439880371094,M1.4b,context4x+samples/4+local attention; same approximate PF
independent_mtp,M1.4b,023,experiments/023_mtp_heads.py,obx3o3az,https://wandb.ai/ericyuegu/hal/runs/obx3o3az,013,linear heads,val/loss,1.0285074553874114,change_f1=0.4660576679127306;button_acc=0.94208042774093,-0.8400051617310019,3.777581360598436,W&B standard field,96,118,0,6818482,6818482,d256-L8-h4-context256-full-attention,512,16384,8388608,87.855,,,M1.4a|M1.4c,P1 context/batch/attention; E1 head capacity+12.6% params/PF
independent_mtp,M1.4c,023,experiments/023_mtp_heads.py,q3aojgfm,https://wandb.ai/ericyuegu/hal/runs/q3aojgfm,023-E0,state-MLP heads,val/loss,1.0264375908052463,change_f1=0.4707839797918271;button_acc=0.941910612746029,-0.7584612070457066,4.684528553962663,W&B standard field,96,126,0,7678526,7678526,d256-L8-h4-context256-full-attention,512,16384,8388608,98.937,,,M1.4b,head type/capacity+12.6% params/PF
temporal_mtp,M2.1,024,experiments/024_temporal_mtp.py,4hoe86s7,https://wandb.ai/ericyuegu/hal/runs/4hoe86s7,023,dense20 temporal decoder,val/loss,1.1853868381782948,deploy_frame_acc=0.3896812080536913;group_acc=0.7658452181208054,-0.5524696971421442,12.192584698492526,W&B standard field,96,106,0,6668993,6668993,trunk256x8-context256-temporal64x1-exec4,512,16384,8388608,85.929,,,M2.2,width+context+decoder+codec+group order+offsets; 026 params+125.7% PF+12.9%
temporal_mtp,M2.2,026,experiments/026_temporal_mtp.py,cqbbbg77,https://wandb.ai/ericyuegu/hal/runs/cqbbbg77,024,sparse-offset temporal MTP,val/primary_nll,1.1596365381097586,change_f1=0.21763302385807037;exact=0.5971755981445312;dense4=0.49244967103004456,0.03188794857717889,29.84907449545336,W&B and R2 final match; latency from local self_play_benchmark_12x14400_single_match_run02,96,101,0,15053039,15053039,trunk384x8-context128-temporal128x2-exec4,512,16384,8388608,96.978,13.511813012883067,14.280086476355791,control,latency from separate local benchmark
within_frame,M3.1a,011,experiments/011_muon.py,6g1fud8e,https://wandb.ai/ericyuegu/hal/runs/6g1fud8e,009,16k frame GPT,val/loss,1.005072459052383,recon_f1=0.9081885856079404;recon_acc=0.992239932885906,-0.9504049315449744,42.05289244205509,W&B standard field; 4 matches,,4,0,6512009,6512009,d256-L8-h4-context256-independent-slices,512,16384,8388608,83.907,,,M3.1b|M3.1c,half updates/samples/PF vs32k
within_frame,M3.1b,009,experiments/009_simplify_arch.py,o3nihah5,https://wandb.ai/ericyuegu/hal/runs/o3nihah5,,AdamW frame GPT,val/loss,1.012882363210714,recon_f1=0.900990099009901;recon_acc=0.9916107382550337,-0.8830633747445558,-1.9627780941243849,W&B standard field; old protocol,,,0,6512009,6512009,d256-L8-h4-context256-independent-slices,512,32768,16777216,167.813,,,M3.1c,optimizer/LR only; params/batch/steps/samples/PF match
within_frame,M3.1c,011,experiments/011_muon.py,vlim96s9,https://wandb.ai/ericyuegu/hal/runs/vlim96s9,009,Muon+AdamW frame GPT,val/loss,0.9836503000609116,recon_f1=0.9070631970260224;recon_acc=0.992135067114094,-0.8527885370418581,-32.06976381963152,W&B standard field; old protocol,,,0,6512009,6512009,d256-L8-h4-context256-independent-slices,512,32768,16777216,167.813,,,M3.1b,optimizer/LR only; params/batch/steps/samples/PF match
within_frame,M3.2a,010,experiments/010_ar_groups.py,pz0iti6x,https://wandb.ai/ericyuegu/hal/runs/pz0iti6x,009,buttons-main-C-triggers AR,val/action_nll_bits_per_frame,1.0625374521418005,recon_f1=0.8874172185430463;recon_acc=0.9910864093959731,,,W&B old eval; no CI,,,0,6527625,6527625,d256-L8-h8-context256-groupdim32,128,32768,4194304,42.054,,,M3.1b,batch/samples4x lower+PF74.9% lower+heads+LR+AR head
within_frame,M3.2b,019,experiments/019_factored_frame.py,5b9x7mhq,https://wandb.ai/ericyuegu/hal/runs/5b9x7mhq,016,C-triggers-main-buttons chain,val/loss,1.0364927434604383,recon_f1=0.900804289544236;recon_acc=0.992239932885906;change_f1=0.490754,-0.56357560910212,16.399622968852977,W&B standard field; old protocol,,117,crash_fraction=0.01680672268907563,6887090,6887090,d256-L8-h4-context256-group-chain,512,16384,8388608,88.739,,,M1.3,group head+1.49% params/PF; other training sizes match
within_frame,M3.3a,013h,df4e4d2:experiments/013_interleaved_groups.py,7tlk11io,https://wandb.ai/ericyuegu/hal/runs/7tlk11io,009/011,short interleaved state/action trunk,val/loss,1.2618846925400178,recon_f1=0.8998763906056859;recon_acc=0.9915058724832216,-0.244152888905259,20.272828450749834,local 026-protocol evaluation.json,96,102,0,6600585,6600585,d256-L8-h4-51frames-255tokens,512,14336,7340032,74.126,,,M2.2,tokenization+width+context+params+step+PF+decode work; val is full-run not evaluated checkpoint
within_frame,M3.3b,013h,df4e4d2:experiments/013_interleaved_groups.py,lxo3id9l,https://wandb.ai/ericyuegu/hal/runs/lxo3id9l,009/011,full-context interleaved trunk,val/loss,1.098148265820779,recon_f1=0.9002493765586035;recon_acc=0.9916107382550337,0.05450940287313491,30.89686549362344,W&B standard field; old protocol,,84,crash_fraction=0.06666666666666667,6600585,6600585,d256-L8-h4-256frames-1280tokens,512,16384,8388608,425.239,,,M3.3a,context/PF5.02x+different eval protocol
parallel_trajectory,M4.1,033,experiments/033_parallel_latent_trajectory.py,mz8dk2gh,https://wandb.ai/ericyuegu/hal/runs/mz8dk2gh,026,K1 parallel latent trajectory,val/primary_nll,1.905349790210598,change_f1=0.361098051071167;exact=0.521672248840332;dense4=0.2936241626739502,-1.7437581928420631,-62.4006561117433,W&B and R2 shared-K final match,96,146,0,14884127,14884127,026-trunk-noncausal-parallel-decoder,1024,16384,16777216,191.781,5.9946354999738105,7.187336499964658,M2.2|M4.2,decoder/objective+2x samples-1.12% params+97.8% PF
parallel_trajectory,M4.2,033,experiments/033_parallel_latent_trajectory.py,feic18gt,https://wandb.ai/ericyuegu/hal/runs/feic18gt,033-K1,K8 parallel latent trajectory,val/primary_nll,1.3107631603980403,change_f1=0.31501832604408264;exact=0.4602908194065094;dense4=0.24328859150409696,-0.7916693010771774,-15.175360752246874,W&B only; no R2 metrics.json,96,111,0,14885023,14885023,026-trunk-noncausal-parallel-decoder-K8,1024,10240,10563584,120.760,10.004712999972298,11.12984884999548,M4.1,K1toK8+microbatch/accum+37.5% fewer steps+37.0% lower PF+0.74% sample-counter excess
iql,Q1,027,experiments/027_temporal_mtp.py,06fi5jms,https://wandb.ai/ericyuegu/hal/runs/06fi5jms,026,attached IQL heads,val/primary_nll,1.3121971567920967,change_f1=0.1401384025812149;exact=0.5693512558937073;dense4=0.4807046949863434;q_corr=0.04293213297679228,-2.0216175302507517,-66.31532482138374,W&B and R2 isolated-final match,96,162,0,15268921,15053039,026-policy-plus-attached-QV,1024,16384,16777216,196.739,13.590433999979725,15.887106999753083,M2.2,2x data+1.43% total params+102.9% PF+IQL heads/losses
iql,Q2,030,experiments/030_iql.py,ud4p5klw,https://wandb.ai/ericyuegu/hal/runs/ud4p5klw,027,separate scalar Q,val/actor_nll,0.2120743310891542,q_return_corr=0.4273602239300081,-1.7075003654834284,-59.07036971129998,W&B and R2 final match,96,146,0,25454886,15052783,policy384x8-critics256x4-context128,512,16384,8388608,163.992,14.477218001047731,15.583816800790371,M2.2|Q3,critics+Adam+offsets1to4+chunk4+69.1% params/PF lower bound
iql,Q3,030,experiments/030_iql.py,kxzc3m9a,https://wandb.ai/ericyuegu/hal/runs/kxzc3m9a,030-scalar,separate HL-Gauss Q,val/actor_nll,0.21174187458201543,q_return_corr=0.45080640959475543,-1.6051432827799053,-63.377021303476624,W&B and R2 final match,96,146,0,25480586,15052783,policy384x8-critics256x4-context128,512,16384,8388608,164.157,12.988913000299362,14.283252999666727,Q2,q_objective only+0.10% params/PF
